,loan_amnt,funded_amnt,funded_amnt_inv,term_mths,int_rate_pct,installment,grade,sub_grade,emp_title,emp_length_yrs,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,pub_rec_bankruptcies,actual_status,predicted_status
19259,22000,22000,21950.0,36,0.1936,810.45,6,29,21737,1,5,72000.0,3,12,0,3,4673,769,5,11.37,3,338,0,2,0,6,0,22085,0.759,15,0,0,28554.02154,28489.13,22000.0,6513.5,40.51999969,1,8269.27,3,0,1,0,2,2
4942,35000,35000,34975.0,60,0.1991,925.54,5,24,26792,11,1,69000.0,3,3,0,3,4864,208,45,23.18,0,163,1,0,0,11,0,19484,0.647,19,0,0,15734.18,15722.95,6704.72,9020.11,0.0,1,925.54,11,0,1,0,1,1
24256,25000,25000,24950.0,60,0.1756,628.87,5,24,8481,6,1,102000.0,3,16,0,2,2589,533,25,19.6,0,36,3,0,0,18,0,41694,0.567,52,0,0,29438.88912,29380.01,25000.0,4438.89,0.0,67,21914.64,51,0,1,0,2,2
27806,12000,8825,7939.626642,60,0.1099,191.84,2,9,4899,4,1,70000.0,1,19,0,3,4720,626,43,21.33,0,239,3,0,0,12,0,6696,0.33,25,0,0,10943.62957,9510.68,8825.0,2118.63,0.0,1,4623.1,11,0,1,0,2,2
34048,5000,5000,4953.852597,36,0.0932,159.74,1,4,19946,10,1,119604.0,1,31,0,5,8708,94,34,8.45,0,241,4,0,0,12,0,20334,0.255,31,0,0,5750.36718,5694.8,5000.0,750.37,0.0,31,177.1,4,0,1,0,2,2
31386,10000,10000,9975.0,36,0.1426,343.06,3,15,7424,10,1,43200.0,1,25,0,10,13802,610,36,0.78,0,64,3,0,0,2,0,966,0.483,6,0,0,12350.42976,12319.55,10000.0,2350.43,0.0,16,369.21,29,0,1,0,2,2
21390,7200,7200,7200.0,60,0.1669,177.75,5,23,27157,2,4,35500.0,3,13,0,5,8574,204,45,24.07,0,339,0,32,0,3,0,0,0.1771,9,0,0,10660.73999,10660.74,7200.0,3460.74,0.0,48,528.99,11,0,1,0,2,2
31428,10000,10000,9854.359926,36,0.0859,316.11,1,4,6226,7,5,55000.0,1,25,0,10,7893,815,37,13.85,0,314,2,0,0,12,0,10862,0.285,34,0,0,11380.07253,11212.54,10000.0,1380.07,0.0,16,320.23,32,0,1,0,2,2
4072,5000,5000,4750.0,36,0.0991,161.13,2,6,20125,6,1,83000.0,1,3,0,1,2382,271,11,18.65,0,384,0,48,0,6,0,40483,0.867,18,0,0,5800.460782,5510.44,5000.0,800.46,0.0,50,170.32,40,0,1,0,2,2
35524,15000,15000,7519.370155,36,0.1221,499.73,2,10,18967,5,1,77000.0,1,36,0,2,7865,313,10,14.96,0,242,3,0,0,9,0,30985,0.794,37,0,0,17940.1542,8628.15,15000.0,2940.15,0.0,68,2458.86,11,0,1,0,2,2
34491,14250,14250,7400.0,36,0.1189,472.59,2,9,14816,3,1,87950.0,3,32,0,12,16087,192,45,12.2,0,226,3,0,0,9,0,39,0.003,25,0,0,17278.87107,8972.89,14250.0,3028.87,0.0,31,287.5,61,0,1,0,2,2
15690,35000,35000,34950.0,60,0.1306,797.44,3,12,27133,11,5,118000.0,3,9,0,3,4864,195,45,25.45,0,74,0,0,0,13,0,6351,0.113,55,0,0,20733.44,20703.95,12391.67,8339.29,0.0,18,81.48,11,0,1,0,1,1
14086,24000,14850,14850.0,36,0.0749,461.86,1,4,4018,4,5,48000.0,2,8,0,2,3839,180,21,15.57,0,225,0,66,0,14,0,15596,0.415,21,0,0,16626.92546,16626.93,14850.0,1776.93,0.0,39,491.02,12,0,1,0,2,2
27333,5600,5600,5475.0,60,0.1521,133.85,4,17,6188,2,5,40000.0,3,19,0,10,2994,47,7,10.32,0,196,3,72,0,4,0,568,0.024,5,0,0,383.02,374.47,62.64,70.72,0.0,81,133.85,10,0,1,0,1,1
18075,7500,7500,7500.0,36,0.1343,254.27,3,13,6970,7,1,28800.0,2,11,0,3,3254,777,5,13.75,0,67,2,0,0,12,0,4776,0.281,18,0,0,9153.314788,9153.31,7500.0,1653.31,0.0,41,292.31,11,0,1,0,2,2
23452,11675,11675,11550.0,60,0.1112,254.55,2,8,5550,11,5,54000.0,2,15,0,3,11639,792,5,14.2,0,18,0,0,0,11,0,6169,0.561,15,0,0,13644.85705,13498.77,11675.0,1969.86,0.0,8,8570.8,47,0,1,0,2,2
10950,6000,6000,6000.0,36,0.1059,195.27,2,7,24184,5,5,55000.0,1,6,0,10,13773,457,48,14.57,0,84,1,0,0,8,0,5712,0.907,14,0,0,5337.01,5337.01,4123.29,952.68,0.0,9,212.77,1,0,1,0,1,1
4925,4000,4000,3750.0,36,0.1269,134.18,2,10,26942,4,5,34000.0,1,3,0,3,2666,677,6,14.36,0,22,0,36,0,3,0,1858,0.251,10,0,0,4517.649081,4235.3,4000.0,517.65,0.0,9,775.09,50,0,1,0,2,2
5302,21600,21600,21600.0,36,0.1349,732.9,3,11,12447,5,5,60000.0,2,3,0,3,2999,13,20,9.66,0,75,1,0,0,10,0,10810,0.385,15,0,0,1923.86,1923.86,489.37,242.47,0.0,66,732.9,1,0,1,0,1,1
36226,7500,7500,1758.843849,36,0.1039,243.38,2,9,11293,10,1,91000.0,3,42,0,2,13424,510,15,10.64,1,110,2,23,0,20,0,11336,0.319,59,0,0,8761.657303,1829.67,7500.0,1261.66,0.0,70,243.69,10,0,1,0,2,2
12420,7000,7000,7000.0,36,0.0749,217.72,1,4,28708,5,1,74400.0,1,7,0,11,17818,782,5,11.53,0,174,0,82,0,9,0,13218,0.472,14,0,0,7481.358996,7481.36,7000.0,481.36,0.0,24,4882.85,58,0,1,0,2,2
1624,12000,12000,11950.0,36,0.1242,400.99,2,9,20198,11,5,55000.0,2,1,0,2,3320,827,47,14.18,1,272,0,15,0,6,0,6934,0.788,11,0,0,14435.3454,14375.2,12000.0,2435.35,0.0,2,412.77,10,0,1,0,2,2
29045,16750,16750,16400.0,36,0.1496,580.33,4,17,23989,3,1,46000.0,2,21,0,3,12364,479,24,22.23,0,225,0,0,0,7,0,10809,0.974,20,0,0,20850.27529,20414.6,16750.0,4100.28,0.0,37,2320.57,49,0,1,0,2,2
29364,10000,10000,10000.0,36,0.1496,346.47,4,17,1605,4,1,49600.0,1,22,0,3,4864,646,43,19.65,0,22,0,0,0,10,0,30016,0.947,19,0,0,12473.23756,12473.24,10000.0,2473.24,0.0,1,370.03,25,0,1,0,2,2
17415,3000,3000,3000.0,36,0.1111,98.38,2,10,6486,3,1,75000.0,1,10,0,1,11401,191,21,17.04,0,219,0,67,0,13,0,7552,0.812,29,0,0,3156.724182,3156.72,3000.0,156.72,0.0,68,2666.99,67,0,1,0,2,2
13043,12000,12000,12000.0,36,0.1523,417.34,3,15,24162,11,1,42000.0,2,7,0,3,7524,696,50,0.46,1,43,1,20,0,4,0,435,0.435,25,0,0,12993.94687,12993.95,12000.0,993.95,0.0,47,10501.91,11,0,1,0,2,2
30705,6000,6000,5875.0,36,0.0751,186.66,1,4,24970,11,1,122000.0,1,24,0,2,2589,89,34,1.46,0,152,1,0,0,5,0,10817,0.496,17,0,0,6719.762347,6579.77,6000.0,719.76,0.0,32,199.57,29,0,1,0,2,2
7038,14000,14000,13925.0,36,0.0603,426.1,1,1,8886,6,1,104800.0,1,4,0,3,235,505,15,9.0,0,48,0,0,0,11,0,15108,0.156,28,0,0,15333.12007,15250.98,14000.0,1333.12,0.0,25,1275.2,49,0,1,0,2,2
148,5600,5600,5600.0,36,0.1465,193.17,3,13,18903,1,1,85000.0,1,1,0,3,4864,715,4,12.24,1,110,3,11,0,8,0,6812,0.908,31,0,0,1352.19,1352.19,905.39,445.47,0.0,24,193.17,11,0,1,0,1,1
1178,15000,15000,15000.0,36,0.079,469.36,1,4,18653,11,4,125000.0,2,1,0,6,8504,385,35,10.64,0,274,0,0,0,3,0,0,0.0,22,0,0,16896.71001,16896.71,15000.0,1896.71,0.0,17,480.04,6,0,1,0,2,2
5721,35000,35000,35000.0,60,0.1942,916.03,5,23,16248,2,5,250000.0,3,3,0,3,5055,77,34,11.29,0,205,1,0,0,6,0,58759,0.516,23,0,0,52202.80996,52202.81,35000.0,17202.81,0.0,11,16489.82,11,0,1,0,2,2
25471,5000,5000,5000.0,60,0.1398,116.29,3,13,18814,10,5,19200.0,1,17,0,3,4217,793,5,15.94,0,55,0,0,0,4,0,4842,0.621,5,0,0,6977.35,6977.35,5000.0,1977.35,0.0,12,122.15,15,0,1,0,2,2
12920,25000,25000,24975.0,60,0.2174,686.79,6,30,17300,11,1,82400.0,3,7,0,5,8440,63,31,6.9,0,125,8,28,0,3,0,0,0.0,17,0,0,15520.14,15504.74,5895.34,8526.09,0.0,1,42.54,1,0,1,0,1,1
26367,3000,3000,3000.0,36,0.1472,103.59,3,15,13325,2,5,45996.0,2,18,0,10,11462,81,34,4.7,3,3,1,7,0,7,0,0,0.0,11,0,0,2990.11,2990.11,2220.38,695.03,29.94497538,16,123.96,1,0,1,0,1,1
7636,14300,14300,14300.0,60,0.2062,383.82,6,27,18007,1,5,30000.0,2,4,0,10,13802,396,35,19.2,0,25,3,0,0,4,0,4522,0.942,5,0,0,3450.46,3450.46,1016.83,1666.9,0.0,42,383.82,1,0,1,0,1,1
35002,10000,10000,9825.0,36,0.1221,333.15,2,10,20749,6,5,50004.0,3,34,0,3,3362,551,25,3.0,0,206,0,35,0,17,0,6063,0.196,42,0,0,11201.30267,11005.28,10000.0,1201.31,0.0,83,6875.52,84,0,1,0,2,2
15844,1000,1000,1000.0,36,0.0729,31.01,1,4,23918,4,5,29000.0,1,9,0,10,16040,84,34,17.05,1,111,1,19,0,10,0,5373,0.187,22,0,0,1116.354473,1116.35,1000.0,116.35,0.0,21,34.64,27,0,1,0,2,2
6174,5000,5000,4750.0,36,0.1727,178.94,4,18,2808,6,5,60000.0,1,4,0,3,4841,756,5,17.58,0,85,0,30,109,17,1,13656,0.997,27,0,0,6478.572282,6154.64,5000.0,1478.57,0.0,23,226.67,13,0,1,1,2,2
20167,8125,8125,8125.0,60,0.1335,186.33,3,14,10501,10,1,50000.0,1,13,0,2,9949,762,5,6.02,0,116,1,0,0,12,0,32638,0.842,36,0,0,5589.9,5589.9,3392.69,2194.21,0.0,26,186.33,11,0,1,0,1,1
25736,3000,3000,3000.0,36,0.1398,102.51,3,13,13058,6,5,50000.0,1,18,0,9,11512,20,39,12.94,0,38,0,74,0,7,0,10605,0.455,15,0,0,3666.198749,3666.2,3000.0,666.2,0.0,32,699.13,11,0,1,0,2,2
16330,35000,35000,34900.0,36,0.1111,1147.68,2,10,8647,11,1,450000.0,3,9,0,7,14108,306,10,11.35,1,132,0,22,0,10,0,21448,0.268,45,0,0,41316.44507,41198.4,35000.0,6316.45,0.0,21,1233.31,11,0,1,0,2,2
11634,6000,6000,6000.0,36,0.0699,185.24,1,3,8431,1,5,75000.0,1,6,0,3,4039,782,5,16.8,0,381,2,0,0,12,0,32138,0.587,20,0,0,6131.38,6131.38,6000.0,131.38,0.0,66,5077.85,65,0,1,0,2,2
18122,15850,15850,15850.0,60,0.138,367.17,3,14,185,1,1,55680.0,2,11,0,1,11910,405,35,25.02,0,285,2,0,0,17,0,28038,0.446,32,0,0,21999.08001,21999.08,15850.0,6149.08,0.0,44,1804.73,30,0,1,0,2,2
2637,17600,17600,17600.0,36,0.1242,588.11,2,9,13975,1,4,140000.0,2,2,0,2,4067,301,10,22.35,0,51,1,0,0,17,0,22955,0.523,45,0,0,21171.90367,21171.9,17600.0,3571.9,0.0,17,596.45,11,0,1,0,2,2
12210,6000,6000,6000.0,36,0.1649,212.4,4,18,26792,7,5,55200.0,3,7,0,10,12631,81,34,22.39,0,7,1,0,0,7,0,13808,0.995,15,0,0,7656.775058,7656.78,6000.0,1656.78,0.0,22,18.23,24,0,1,0,2,2
27288,6000,6000,5811.545475,36,0.0751,186.67,1,4,24807,6,1,75000.0,1,19,0,4,10883,272,11,11.95,0,241,0,0,0,11,0,63278,0.61,23,0,0,6720.086392,6500.38,6000.0,720.09,0.0,6,209.72,55,0,1,0,2,2
2292,12100,12100,12100.0,60,0.1727,302.48,4,18,28542,3,5,50000.0,2,1,0,6,7397,718,4,11.5,0,28,0,42,0,8,0,5579,0.33,15,0,0,12785.36772,12785.37,12100.0,685.37,0.0,42,11880.82,15,0,1,0,2,2
15306,10000,10000,9750.0,36,0.1074,326.16,2,9,1081,3,5,125000.0,1,9,0,3,3697,16,20,15.64,0,199,0,62,0,9,0,13648,0.638,16,0,0,11220.13328,10939.63,10000.0,1220.13,0.0,13,6015.92,11,0,1,0,2,2
2957,2500,2500,2500.0,36,0.1349,84.83,3,11,9109,3,5,50000.0,1,2,0,3,103,385,35,16.58,0,332,0,36,0,11,0,4541,0.516,21,0,0,3053.71,3053.71,2500.0,553.71,0.0,17,91.88,57,0,1,0,2,2
1054,17000,17000,17000.0,60,0.1349,391.08,3,11,12734,9,5,53000.0,1,1,0,3,13525,243,28,21.03,0,175,2,0,0,7,0,6427,0.846,12,0,0,5084.04,5084.04,2778.78,2298.63,0.0,37,391.08,11,0,1,0,1,1
20874,20000,18300,17717.05997,36,0.0654,561.21,1,4,22198,11,1,70000.0,3,13,0,3,10150,794,5,10.41,0,171,0,0,0,6,0,11465,0.42,34,0,0,19660.47739,19027.51,18300.0,1360.48,0.0,8,5537.15,53,0,1,0,2,2
805,7150,7150,7150.0,36,0.1269,239.85,2,10,26499,1,5,50000.0,2,1,0,2,6193,194,45,24.6,0,114,1,0,0,18,0,11439,0.708,32,0,0,8259.279193,8259.28,7150.0,1109.28,0.0,7,2110.22,10,0,1,0,2,2
34228,3000,3000,2975.0,36,0.1379,102.23,3,15,16503,11,4,60000.0,1,31,0,10,16870,94,34,2.18,1,356,1,9,0,3,0,5824,0.647,8,0,0,3436.597428,3407.96,3000.0,436.6,0.0,79,2314.12,80,0,1,0,2,2
27031,10000,10000,9950.0,60,0.1361,230.67,3,12,19763,3,4,97650.0,1,19,0,10,9921,183,21,13.31,0,116,1,35,0,16,0,20884,0.513,34,0,0,13467.48707,13400.15,10000.0,3467.49,0.0,29,3803.64,19,0,1,0,2,2
24329,4000,4000,3975.0,36,0.0714,123.77,1,3,19897,10,5,9600.0,3,16,0,3,5055,89,34,13.88,0,70,0,0,0,19,0,3448,0.302,25,0,0,4455.785814,4427.94,4000.0,455.79,0.0,7,130.26,46,0,1,0,2,2
28870,12000,12000,11725.0,36,0.1496,415.76,4,17,195,2,5,40310.0,1,21,0,3,5055,301,10,10.63,0,94,0,0,0,7,0,13313,0.464,9,0,0,1663.04,1624.86,1081.75,576.81,0.0,80,415.76,11,0,1,0,1,1
25434,9000,9000,9000.0,36,0.1186,298.33,2,10,4271,3,5,65000.0,3,17,0,3,3697,745,5,13.74,0,219,1,44,0,7,0,11028,0.912,19,0,0,10737.61087,10737.61,9000.0,1737.61,0.0,26,619.25,49,0,1,0,2,2
8303,10700,10700,10700.0,60,0.1799,271.66,5,21,19805,1,5,50000.0,3,4,0,12,15866,816,47,10.32,0,16,1,0,0,8,0,8484,0.943,8,0,0,16298.77943,16298.78,10700.0,5598.78,0.0,59,270.83,1,0,1,0,2,2
23937,4200,4200,4200.0,36,0.1521,146.03,4,17,625,10,5,21000.0,3,16,0,2,4051,470,48,12.0,0,183,1,0,0,5,0,4843,0.532,9,0,0,5272.451432,5272.45,4200.0,1057.45,15.00000004,19,43.59,5,0,1,0,2,2
3965,12000,12000,12000.0,36,0.1465,413.94,3,13,27196,3,1,45600.0,2,2,0,3,5055,295,10,19.13,0,123,3,59,0,6,0,11399,0.934,18,0,0,14404.2908,14404.29,12000.0,2404.29,0.0,7,5718.7,58,0,1,0,2,2
20006,7200,7200,6710.772257,36,0.0579,218.36,1,2,28364,3,5,60000.0,2,12,0,3,3697,237,49,16.86,0,134,0,53,0,15,0,4493,0.15,35,0,0,7860.773417,7284.57,7200.0,660.77,0.0,20,235.6,35,0,1,0,2,2
30392,19000,19000,18837.95359,36,0.1099,621.97,2,9,8278,3,5,72000.0,1,23,0,7,4483,636,43,11.68,0,49,1,0,0,13,0,12284,0.208,29,0,0,22391.66415,22199.5,19000.0,3391.67,0.0,32,669.36,2,0,1,0,2,2
32749,5600,5600,5592.37146,36,0.0859,177.02,1,4,5068,5,1,39000.0,1,28,0,2,13802,63,31,8.34,0,108,1,0,0,9,0,2639,0.24,14,0,0,6372.692691,6363.21,5600.0,772.69,0.0,13,179.81,11,0,1,0,2,2
27375,23000,22825,21020.71332,60,0.1682,565.06,5,22,2232,8,1,132000.0,3,19,0,3,4632,716,4,13.88,1,195,1,18,0,11,0,51820,0.495,23,0,0,30939.82252,27099.93,22825.0,8086.57,28.25000013,37,13976.42,31,0,1,0,2,2
11303,6000,6000,6000.0,36,0.1349,203.59,3,12,6128,1,1,48000.0,2,6,0,7,4864,161,38,19.85,1,45,0,20,0,15,0,13612,0.895,41,0,0,7328.918454,7328.92,6000.0,1328.92,0.0,25,216.82,11,0,1,0,2,2
6465,6000,6000,6000.0,36,0.1349,203.59,3,11,3880,10,5,45000.0,2,4,0,3,5428,620,36,23.68,0,210,1,0,0,8,0,7872,0.764,16,0,0,6514.88,6514.88,5206.06,1308.82,0.0,25,30.24,4,0,1,0,1,2
6936,2000,2000,2000.0,36,0.1242,66.84,2,9,9943,10,5,30000.0,2,4,0,1,2382,745,5,15.68,0,91,1,41,0,18,0,1567,0.922,28,0,0,2297.743782,2297.74,2000.0,297.74,0.0,10,711.08,59,0,1,0,2,2
5348,8000,8000,8000.0,36,0.1427,274.48,3,12,2069,5,1,66000.0,1,3,0,5,8388,751,5,2.11,0,308,1,49,0,11,0,0,0.0,18,0,0,6038.56,6038.56,4459.9,1578.02,0.0,7,26.62,28,0,1,0,1,1
26764,1400,1400,1400.0,60,0.1112,30.53,2,8,575,2,1,30240.0,2,19,0,5,8388,585,19,22.38,0,1,1,0,0,10,0,127,0.025,16,0,0,271.02,271.02,126.04,87.11,0.0,75,30.53,1,0,1,0,1,1
8768,2500,2500,2500.0,36,0.0749,77.76,1,4,19487,1,5,32004.0,1,5,0,10,12860,90,34,21.6,1,17,0,18,0,8,0,5081,0.217,33,0,0,884.65,884.65,635.77,137.6,0.0,8,77.76,1,0,1,0,1,1
26267,6250,6250,6225.0,36,0.1484,216.17,4,16,22942,2,5,28500.0,1,18,0,3,4864,55,31,19.96,0,91,0,0,0,15,0,8928,0.36,21,0,0,7782.706595,7751.58,6250.0,1532.71,0.0,26,234.08,4,0,1,0,2,2
2007,12000,12000,11925.0,60,0.1527,287.19,3,14,26892,11,1,54000.0,1,1,0,3,5055,129,38,12.47,0,130,1,72,0,12,0,15378,0.666,29,0,0,2085.23,2072.24,686.54,742.66,0.0,52,287.19,1,0,1,0,1,1
5411,20000,20000,20000.0,60,0.1825,510.6,4,20,2926,11,1,360000.0,3,3,0,10,12631,739,33,1.99,0,298,1,41,0,13,0,97371,0.705,21,0,0,30637.54,30637.54,20000.0,10637.54,0.0,55,512.14,11,0,1,0,2,2
35504,12000,12000,4325.0,36,0.1411,410.75,4,16,28639,10,5,80000.0,3,36,0,10,15087,92,34,7.21,0,85,0,27,0,12,0,7887,0.372,16,0,0,13482.13002,4867.71,12000.0,1482.13,0.0,86,22.3,11,0,1,0,2,2
23677,6250,6250,6250.0,36,0.0676,192.3,1,2,25075,9,1,65000.0,3,16,0,7,12336,156,38,3.77,0,188,0,0,0,6,0,547,0.182,21,0,0,6917.030085,6917.03,6250.0,667.03,0.0,26,792.67,46,0,1,0,2,2
22143,6000,6000,6000.0,36,0.0579,181.97,1,2,12653,11,1,115000.0,1,14,0,3,4864,71,31,10.15,0,278,2,0,0,8,0,76103,0.592,23,0,0,6511.986657,6511.99,6000.0,511.99,0.0,32,1801.73,11,0,1,0,2,2
35102,5000,5000,4700.0,36,0.0932,159.74,1,4,12118,3,5,45000.0,1,35,0,3,3340,20,39,20.35,0,16,0,0,0,6,0,4717,0.513,18,0,0,5750.36718,5405.35,5000.0,750.37,0.0,51,191.47,11,0,1,0,2,2
10993,16000,16000,16000.0,36,0.1399,546.77,3,13,15100,3,5,50000.0,2,6,0,3,5055,771,5,16.75,0,100,1,56,0,12,0,3020,0.403,25,0,0,5645.57,5645.57,3390.61,1520.33,0.0,52,546.77,1,0,1,0,1,1
20573,2500,2500,2500.0,36,0.1298,84.22,3,13,5724,1,5,57000.0,2,13,0,3,6846,69,31,3.52,0,178,0,29,0,5,0,7071,0.804,10,0,0,3031.907713,3031.91,2500.0,531.91,0.0,20,89.71,3,0,1,0,2,2
1510,10000,10000,10000.0,36,0.0603,304.36,1,1,6756,11,1,79992.0,2,1,0,3,3697,292,10,12.21,0,231,1,0,0,15,0,10220,0.174,42,0,0,10956.77596,10956.78,10000.0,956.78,0.0,17,307.88,11,0,1,0,2,2
18386,12000,12000,12000.0,36,0.164,424.26,5,21,15390,11,5,104000.0,3,11,0,2,4206,292,10,14.24,0,81,2,0,0,12,0,29563,0.921,18,0,0,15312.94371,15312.94,12000.0,3278.6,34.34000006,21,49.31,11,0,1,0,2,2
26978,24000,24000,23950.0,60,0.1323,548.91,3,11,12961,2,1,80000.0,3,19,0,1,2939,274,11,14.35,0,45,3,65,0,12,0,570,0.072,26,0,0,24265.21,24214.65,24000.0,265.21,0.0,81,24265.79,83,0,1,0,2,2
9246,6000,6000,6000.0,36,0.0749,186.61,1,4,11821,6,4,30000.0,1,5,0,3,10132,637,43,28.76,0,52,0,0,0,10,0,5618,0.35,15,0,0,4248.84,4248.84,3490.21,596.95,0.0,26,186.61,1,0,1,0,1,1
15860,15000,15000,15000.0,36,0.1037,486.62,2,8,9409,2,5,61500.0,1,9,0,2,4243,181,21,10.11,0,95,2,0,0,7,0,8104,0.373,17,0,0,17518.22269,17518.22,15000.0,2518.22,0.0,21,496.62,11,0,1,0,2,2
89,15300,15300,15275.0,60,0.2206,423.1,6,29,18972,6,5,85000.0,3,1,0,2,3697,198,45,20.58,0,69,2,56,0,14,0,26524,0.897,27,0,0,25385.07915,25343.6,15300.0,10085.08,0.0,3,422.18,7,0,1,0,2,2
33232,6000,6000,6000.0,36,0.1913,220.33,6,29,21550,4,5,68250.0,3,29,0,3,17533,785,5,16.81,0,5,1,0,0,6,0,7843,0.98,6,0,0,7931.547671,7931.55,6000.0,1931.55,0.0,14,234.63,11,0,1,0,2,2
2611,16500,16500,16407.20455,36,0.089,523.93,1,5,6851,11,4,32968.0,2,2,0,3,3281,66,31,12.3,0,81,1,0,0,8,0,13805,0.633,13,0,0,18476.00651,18369.9,16500.0,1976.01,0.0,19,4963.11,19,0,1,0,2,2
26767,3250,3250,3250.0,36,0.1521,113.0,4,17,21460,6,5,23004.0,2,19,0,10,16098,166,38,23.11,0,82,3,0,0,5,0,3831,0.903,8,0,0,4068.304092,4068.3,3250.0,818.3,0.0,26,132.16,14,0,1,0,2,2
29896,16000,16000,15975.0,36,0.1533,557.26,4,18,24215,2,5,95000.0,1,22,0,3,202,77,34,10.8,0,122,0,0,0,11,0,10432,0.796,17,0,0,20063.93371,20032.58,16000.0,4063.93,0.0,34,571.57,3,0,1,0,2,2
3844,19000,19000,19000.0,60,0.1758,478.15,4,19,14929,10,1,100000.0,2,2,0,3,5055,510,15,9.53,0,192,2,0,0,16,0,19066,0.445,29,0,0,28251.60003,28251.6,19000.0,9251.6,0.0,44,5778.55,8,0,1,0,2,2
4236,27000,27000,26725.0,60,0.1065,582.35,2,7,17641,9,1,61900.0,3,2,0,3,4864,249,28,18.92,0,222,0,0,0,10,0,39000,0.633,26,0,0,34940.49997,34584.62,27000.0,7940.5,0.0,60,581.85,19,0,1,0,2,2
12545,1000,1000,1000.0,36,0.0749,31.11,1,4,15060,3,5,21000.0,1,7,0,12,2054,455,48,12.11,0,199,0,0,0,7,0,1824,0.309,8,0,0,1084.818706,1084.82,1000.0,84.82,0.0,9,12.17,42,0,1,0,2,2
11293,18500,18500,18250.0,36,0.0749,575.39,1,4,23251,11,4,35000.0,1,6,0,3,6610,401,35,18.82,0,256,0,0,0,9,0,3502,0.15,27,0,0,20349.68374,20074.69,18500.0,1849.68,0.0,10,8285.11,51,0,1,0,2,2
